english,french
I,je|j'
me,moi|m'
my,mon|ma|mes
mine,le mien|la mienne|les miens|les miennes
you,tu|vous
your,ton|ta|tes|votre|vos
yours,le tien|la tienne|les tiens|les tiennes|le vôtre|la vôtre|les vôtres
he,il
him,lui
his,son|sa|ses|le sien
she,elle
her,elle|la|lui|sa|son|ses
hers,le sien|la sienne|les siens|les siennes
it,il|elle|ce|ça
its,son|sa|ses
we,nous|on
us,nous
our,notre|nos
ours,le nôtre|la nôtre|les nôtres
they,ils|elles|eux
them,eux|elles|les|leur
their,leur|leurs
theirs,le leur|la leur|les leurs
myself,moi-même
yourself,toi-même|vous-même|vous-mêmes
himself,lui-même
herself,elle-même|se|s'
itself,lui-même|elle-même|se|s'
ourselves,nous-mêmes
themselves,eux-mêmes|elles-mêmes|se|s'